case_id,slaughter_date_sheets,breed_raw_values,breed_en_resolved,breed_zh_resolved
07069186,2025.1.11,Y,Yorkshire,大白
07069189,2025.1.10,Y,Yorkshire,大白
07069196,2025.1.11,Y,Yorkshire,大白
156052000030695,2025.1.9,Y,Yorkshire,大白
156052000030703,2025.1.10,Y,Yorkshire,大白
156052000030738,2025.1.11,Y,Yorkshire,大白
156052000031131,2025.1.10,Y,Yorkshire,大白
156052000031165,2025.1.9,Y,Yorkshire,大白
156052000031347,2025.1.9,Y,Yorkshire,大白
156052000031437,2025.1.10,Y,Yorkshire,大白
156052000036717,2025.1.11,Y,Yorkshire,大白
156052000036762,2025.1.13,Y,Yorkshire,大白
156052000036764,2025.1.13,Y,Yorkshire,大白
156052000036792,2025.1.10,Y,Yorkshire,大白
156052000036803,2025.1.13,Y,Yorkshire,大白
156052000037090,2025.1.9,Y,Yorkshire,大白
156052000037105,2025.1.10,Y,Yorkshire,大白
156052000037111,2025.1.10,Y,Yorkshire,大白
156052000037112,2025.1.10,Y,Yorkshire,大白
156052000037113,2025.1.11,Y,Yorkshire,大白
156052000037117,2025.1.9,Y,Yorkshire,大白
156052000037118,2025.1.9,Y,Yorkshire,大白
156052000037119,2025.1.10,Y,Yorkshire,大白
156052000037120,2025.1.10,Y,Yorkshire,大白
156052000037121,2025.1.11,Y,Yorkshire,大白
156052000037122,2025.1.10,Y,Yorkshire,大白
156052000037124,2025.1.10,Y,Yorkshire,大白
156052000037130,2025.1.11,Y,Yorkshire,大白
156052000037131,2025.1.9,Y,Yorkshire,大白
156052000037132,2025.1.10,Y,Yorkshire,大白
156052000037133,2025.1.9,Y,Yorkshire,大白
156052000037134,2025.1.13,Y,Yorkshire,大白
156052000037137,2025.1.13,Y,Yorkshire,大白
156052000037138,2025.1.10,Y,Yorkshire,大白
156052000037140,2025.1.13,Y,Yorkshire,大白
156052000037142,2025.1.10,Y,Yorkshire,大白
156052000037143,2025.1.11,Y,Yorkshire,大白
156052000037146,2025.1.9,Y,Yorkshire,大白
156052000037148,2025.1.13,Y,Yorkshire,大白
156052000037151,2025.1.11,Y,Yorkshire,大白
156052000037152,2025.1.9,Y,Yorkshire,大白
156052000037153,2025.1.9,Y,Yorkshire,大白
156052000037158,2025.1.9,Y,Yorkshire,大白
156052000037162,2025.1.13,Y,Yorkshire,大白
156052000037164,2025.1.11,Y,Yorkshire,大白
156052000037165,2025.1.11,Y,Yorkshire,大白
156052000037168,2025.1.11,Y,Yorkshire,大白
156052000037172,2025.1.9,Y,Yorkshire,大白
156052000037173,2025.1.13,Y,Yorkshire,大白
156052000037175,2025.1.11,Y,Yorkshire,大白
156052000037176,2025.1.9,Y,Yorkshire,大白
156052000037177,2025.1.13,Y,Yorkshire,大白
156052000037179,2025.1.9,Y,Yorkshire,大白
156052000037180,2025.1.13,Y,Yorkshire,大白
156052000037184,2025.1.13,Y,Yorkshire,大白
156052000037186,2025.1.11,Y,Yorkshire,大白
156052000037187,2025.1.11,Y,Yorkshire,大白
156052000037189,2025.1.13,Y,Yorkshire,大白
156052000037191,2025.1.10,Y,Yorkshire,大白
156052000037192,2025.1.9,Y,Yorkshire,大白
156052000037194,2025.1.11,Y,Yorkshire,大白
156052000037195,2025.1.10,Y,Yorkshire,大白
156052000037196,2025.1.10,Y,Yorkshire,大白
156052000037197,2025.1.11,Y,Yorkshire,大白
156052000037201,2025.1.13,Y,Yorkshire,大白
156052000037204,2025.1.10,Y,Yorkshire,大白
156052000037356,2025.1.10,Y,Yorkshire,大白
156052000037362,2025.1.11,Y,Yorkshire,大白
156052000037395,2025.1.10,Y,Yorkshire,大白
156052000037404,2025.1.11,Y,Yorkshire,大白
156052000037556,2025.1.9,Y,Yorkshire,大白
156052000037564,2025.1.10,Y,Yorkshire,大白
156052000037620,2025.1.11,Y,Yorkshire,大白
156052000037621,2025.1.13,Y,Yorkshire,大白
156052000037626,2025.1.9,Y,Yorkshire,大白
156052000037636,2025.1.11,Y,Yorkshire,大白
156052000037645,2025.1.10,Y,Yorkshire,大白
156052000037646,2025.1.13,Y,Yorkshire,大白
156052000037654,2025.1.9,Y,Yorkshire,大白
156052000037670,2025.1.9,Y,Yorkshire,大白
156052000037689,2025.1.11,Y,Yorkshire,大白
156052000037691,2025.1.9,Y,Yorkshire,大白
156052000037704,2025.1.13,Y,Yorkshire,大白
156202411000033,2025.1.9,Y,Yorkshire,大白
156202411000054,2025.1.9,Y,Yorkshire,大白
156202411000076,2025.1.13,Y,Yorkshire,大白
156202411000510,2025.1.13,Y,Yorkshire,大白
156202411000519,,,Yorkshire,大白
156202411000558,2025.1.13,Y,Yorkshire,大白
156202411000562,2025.1.13,Y,Yorkshire,大白
156202411000574,2025.1.13,Y,Yorkshire,大白
156202411000579,2025.1.13,Y,Yorkshire,大白
156202411000593,2025.1.13,Y,Yorkshire,大白
